System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-07-30,06:37:04.990,0.06,0.95,0.06,0.72,2.79,81.93,11.68,0.58,0.45,0.0191,0.0027,10.05,8.21,62,4281.97,4484.43,3876.94,0.95,7.96,0.06,0.46,8.07,23.74,0.00,47.94,20.25,100.00,0.00,0.00,0.00,21.79,10.58,3.43,
2026-07-30,06:37:05.990,0.07,1.05,0.06,0.70,2.75,86.28,12.34,0.58,0.48,0.0164,0.0023,10.38,8.34,63,5257.21,5012.73,3878.04,1.05,8.74,0.07,0.56,9.17,24.60,0.00,50.02,16.21,100.00,0.00,0.00,0.00,22.89,11.72,3.59,
2026-07-30,06:37:06.991,0.04,0.83,0.05,0.69,2.70,80.75,11.40,0.58,0.43,0.0238,0.0034,9.95,8.25,65,3388.29,4084.83,3881.20,0.83,6.91,0.04,0.36,7.60,23.88,0.00,47.27,21.26,100.00,0.00,0.00,0.00,20.73,9.76,3.42,
2026-07-30,06:37:07.991,0.06,0.98,0.06,0.69,2.71,82.14,11.61,0.58,0.46,0.0189,0.0027,10.10,8.25,65,4338.24,4442.33,3877.85,0.98,8.14,0.06,0.47,8.25,23.73,0.00,47.58,20.44,100.00,0.00,0.00,0.00,21.36,10.33,3.48,
2026-07-30,06:37:08.990,0.10,1.35,0.07,0.69,2.70,84.06,12.18,0.58,0.48,0.0111,0.0016,10.23,8.36,66,7591.33,5642.51,3876.78,1.35,11.21,0.10,0.82,10.49,29.68,0.00,44.15,15.68,100.00,0.00,0.00,0.00,24.21,13.19,3.45,
2026-07-30,06:37:09.990,0.05,0.85,0.05,0.68,2.64,83.08,11.53,0.58,0.45,0.0230,0.0032,10.11,8.28,66,3614.15,4260.31,3879.87,0.85,7.07,0.05,0.39,8.10,25.94,0.00,46.13,19.83,100.00,0.00,0.00,0.00,20.89,9.90,3.42,
2026-07-30,06:37:10.991,0.06,1.01,0.06,0.71,2.77,82.97,11.74,0.57,0.44,0.0180,0.0025,10.16,8.29,66,4612.81,4579.02,3876.96,1.01,8.39,0.06,0.50,8.31,24.66,0.00,47.06,19.97,100.00,0.00,0.00,0.00,21.80,10.97,3.27,
2026-07-30,06:37:11.992,0.05,0.89,0.06,0.69,2.70,82.98,11.63,0.58,0.53,0.0210,0.0029,10.16,8.32,66,3959.56,4462.87,3877.50,0.89,7.39,0.05,0.43,8.32,41.75,0.00,30.38,19.55,100.00,0.00,0.00,0.00,21.65,10.64,3.41,
2026-07-30,06:37:12.990,0.06,0.96,0.06,0.72,2.79,81.06,11.73,0.58,0.45,0.0188,0.0027,10.01,8.24,66,4309.70,4478.60,3878.06,0.96,8.02,0.06,0.46,8.07,29.05,0.00,42.63,20.25,100.00,0.00,0.00,0.00,21.65,10.69,3.39,
2026-07-30,06:37:13.990,0.06,0.96,0.06,0.72,2.79,82.72,11.82,0.58,0.45,0.0191,0.0027,10.22,8.34,67,4331.69,4526.89,3882.13,0.96,7.97,0.06,0.46,8.15,25.61,0.00,49.01,17.23,100.00,0.00,0.00,0.00,21.68,10.70,3.43,
